user_address,asset,side,position_size,entry_price,mark_price,absolute_pnl,pnl_percent,realized_pnl,unrealized_pnl,leverage_ratio,is_negative_equity,was_liquidated,was_adl,trades_count,had_pre_existing_position
0x01bac8aef1adcaf091626bb977c89e8f2192b443,SOL,SHORT,0.0,,169.36,2213.865,,2213.865,0.0,,,False,True,1,True
0x01c80f69cb27ff10506df825cff859ffc8721eb2,BTC,LONG,3.1777100000000007,,108340.0,-12581.279999999999,,-12581.279999999999,0.0,,,False,False,4,True
0x01ceab5d8f621294d4c6fae41b5613b1fdde1629,SOL,LONG,0.0,,169.36,-2851.2792,,-2851.2792,0.0,,,False,False,1,True
0x01cf983c0b8ab8299b0420f425fa42a4713270e6,SOL,SHORT,0.0,,169.36,24.9018,,24.9018,0.0,,,False,False,1,True
0x01d21e883af7a58d63dec2e3b52b05d9acb9c39e,SOL,SHORT,0.0,,169.36,6.3801,,6.3801,0.0,,,False,True,1,True
0x01d69ca58714585ca79524a8551e2aa4428cdb04,BTC,SHORT,0.0,,108340.0,-1607.7645859999998,,-1607.7645859999998,0.0,,,True,False,39,True
0x01d8207ac544b62d22e92fa8b84af11728d75ead,BTC,SHORT,0.0,,108340.0,11370.740207,,11370.740207,0.0,,,False,True,6,True
0x01d8207ac544b62d22e92fa8b84af11728d75ead,SOL,SHORT,16.67,,169.36,859.7864,,859.7864,0.0,,,False,True,2,True
0x01dc92684f548d4eb981762276c9cea5189c1fe6,SOL,SHORT,0.0,,169.36,1029.7386,,1029.7386,0.0,,,False,True,1,True
0x01e84b954796a3010d51c52c48564493ac46b22c,SOL,LONG,0.0,,169.36,-2.8272,,-2.8272,0.0,,,False,False,1,True
0x01efc3ac8635daad45c4537b01a1224e6958f174,SOL,LONG,0.0,,169.36,-162.04492199999999,,-162.04492199999999,0.0,,,True,False,3,True
0x01f4827cc87965675d5f4cb4f51d9ee58a0df747,SOL,SHORT,0.0,,169.36,50.5175,,50.5175,0.0,,,False,True,1,True
0x01f8418e6b526b0f109e843f7927d61c5ffb4b04,SOL,LONG,0.0,,169.36,-27.024,,-27.024,0.0,,,False,False,1,True
0x01f84fa6bfce8005694a1a66237957fbce05b7fc,SOL,LONG,1.900000000000004,,169.36,-23.2053030000002,,-23.2053030000002,0.0,,,False,False,227,True
0x01fa300de54d9eb163227971da921747139099aa,SOL,SHORT,9.83,171.66,169.36,22.60899999999983,1.3580538497874246,0.0,22.60899999999983,,,False,False,1,False
0x02027c0a29e5e3987ae96449eb70ad6ec5bbbbeb,SOL,SHORT,0.0,,169.36,423.9679,,423.9679,0.0,,,False,True,1,True
0x0202ef0ff22c58039de970c4460c9ebd2ed6b309,BTC,LONG,0.0,,108340.0,-62.8254,,-62.8254,0.0,,,False,False,2,True
0x0203b33694e55166c6583965e4b9b1a3fa9d6992,SOL,LONG,0.0,,169.36,-2432.89436,,-2432.89436,0.0,,,False,False,2,True
0x0206539c19b2791dfa12ef09a64f37bf81c7bdbc,SOL,LONG,0.0,,169.36,-150.9142,,-150.9142,0.0,,,False,False,1,True
0x02087e8a0955c5fd2c84a0b5bb7e1c0dd9927b71,SOL,LONG,0.0,,169.36,-132.21131,,-132.21131,0.0,,,False,False,1,True
0x021d533f75ebc4afdffe10bd8886e9810a8f9c16,SOL,SHORT,0.0,,169.36,125.5632,,125.5632,0.0,,,False,True,1,True
0x021d5abea6efbcd5dba2c8ae9237471448ea0856,BTC,SHORT,0.0,,108340.0,401.84168,,401.84168,0.0,,,False,True,1,True
0x021de502018b5a9f6878daea30a25891e0104002,SOL,LONG,0.0,,169.36,-180.1212,,-180.1212,0.0,,,False,False,1,True
0x022470ad714c3ae4ffc7b5113cd40d22fb579e6d,BTC,SHORT,0.00445,,108340.0,2.28994,,2.28994,0.0,,,False,False,1,True
0x022470ad714c3ae4ffc7b5113cd40d22fb579e6d,SOL,SHORT,2.020000000000001,,169.36,83.64888,,83.64888,0.0,,,False,True,12,True
0x0229849ab69cce758d57e10579fb35364ec89929,BTC,LONG,0.014259999999999993,,108340.0,-503.36965299999997,,-503.36965299999997,0.0,,,False,False,3,True
0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,LONG,341.75814999999994,,108340.0,-102923.480426,,-102923.480426,0.0,,,False,False,301,True
0x023a3d058020fb76cca98f01b3c48c8938a22355,SOL,SHORT,76.28999999999999,,169.36,4882755.874792,,4882755.874792,0.0,,,False,True,147,True
0x023b64cc0870d4098503c69955123e5e3af3ccb6,BTC,SHORT,0.0,,108340.0,436.67795,,436.67795,0.0,,,False,True,1,True
0x023cbf0e0fb5583ba492299e66d58e15d8352dd1,BTC,LONG,0.0,,108340.0,-95.389385,,-95.389385,0.0,,,False,False,1,True
0x0243edbd5fd8a8c5ebd86b327b6d6efdc6a032e3,BTC,LONG,0.0,108370.00000000001,108340.0,-75.995948,,-75.995948,0.0,,,True,True,7,False
0x024b189fde77af56ff25d921014708e3ac6cd5f0,BTC,LONG,0.0,,108340.0,-349.694163,,-349.694163,0.0,,,False,False,1,True
0x024b189fde77af56ff25d921014708e3ac6cd5f0,SOL,LONG,0.0,,169.36,-175.5014,,-175.5014,0.0,,,False,False,1,True
0x0252f92ee3f4430ac419fc3e9ae31df718990842,BTC,LONG,0.46719,,108340.0,0.0,,0.0,0.0,,,False,False,1,True
0x02558f53d80d3d7ee7e8bcf571df3908846aa133,BTC,LONG,0.0,,108340.0,-64144.427718,,-64144.427718,0.0,,,True,False,1,True
0x025a1d3060eee19b1efe3972196f29e1abb81b34,SOL,LONG,203.25000000000003,,169.36,0.0,,0.0,0.0,,,False,False,25,True
0x025dcd45c40f12ead50e52b87a89d30d3d6463d6,BTC,SHORT,0.04084,109854.44800181653,108340.0,143.26947639418725,3.238016884356591,81.41942,61.850056394187256,,,False,False,14,False
0x0263233e8ccdc7adf7b2233f9f731afc026413f0,BTC,SHORT,0.0,,108340.0,2528.888142,,2528.888142,0.0,,,False,True,1,True
0x02690d882c80cb455b4bdb2aec8483cb83c1da79,BTC,LONG,0.0,,108340.0,-23.650985,,-23.650985,0.0,,,False,False,1,True
0x026aa13f4ac09e95b6f7c4c83c7e7e8745e5e178,SOL,SHORT,0.0,,169.36,29.314152,,29.314152,0.0,,,False,True,1,True
0x0274b02cec4bd0f0ffd1260e5c57080f129968a6,BTC,LONG,3.020589999999992,,108340.0,-23494.72858400002,,-23494.72858400002,0.0,,,False,False,264,True
0x02752397644b1cd5ea40e2b0c3c961a837bcc67c,BTC,LONG,0.0,,108340.0,-995.801652,,-995.801652,0.0,,,False,False,3,True
0x027717f112baa657c224eadadbb02602b463508b,BTC,LONG,1.638010000000004,,108340.0,-26480.878473000044,,-26480.878473000044,0.0,,,False,False,277,True
0x027cef85b608e4b699449984ee845df183657429,SOL,LONG,0.0,,169.36,-216.904,,-216.904,0.0,,,False,False,2,True
0x02808c252480c20b7f4cbee5501f1e92a9d0c1b6,BTC,LONG,0.00329,,108340.0,-23.386,,-23.386,0.0,,,False,False,2,True
0x0288bef143c52b931ef79a51727b2075018165cb,BTC,LONG,0.0,,108340.0,-7.519644,,-7.519644,0.0,,,False,False,1,True
0x0291639ea7178930475da17b579e1ac2de8faed8,BTC,LONG,0.34466999999999276,,108340.0,-23130.885421000057,,-23130.885421000057,0.0,,,False,False,1407,True
0x0291639ea7178930475da17b579e1ac2de8faed8,SOL,LONG,19.919999999999987,,169.36,-259.1604,,-259.1604,0.0,,,False,False,10,True
0x0294b535753c4284bd24c0af6e82415e005aa293,SOL,SHORT,0.0,,169.36,21.96806,,21.96806,0.0,,,False,True,1,True
0x029d687d3b053ec5e5970e7eac7874d50533e710,SOL,SHORT,0.0,,169.36,21.0855,,21.0855,0.0,,,False,True,1,True
0x029d97a3730edde17138ae91a434ed916d625858,SOL,SHORT,0.0,,169.36,124.573,,124.573,0.0,,,False,True,1,True
0x029da82a981625a41137e4025b3e0125f0b3723b,BTC,SHORT,0.0,,108340.0,203.32,,203.32,0.0,,,False,True,1,True
0x02a19e4b37388c941cd11bedc27a2b7846cada1c,BTC,SHORT,8.326672684688674e-17,,108340.0,2512.0879600000007,,2512.0879600000007,0.0,,,False,False,16,True
0x02b78d2fd636b7b6688ac0f898cc4afee436bf4f,BTC,SHORT,0.0,,108340.0,330.515952,,330.515952,0.0,,,False,True,16,True
0x02b78d2fd636b7b6688ac0f898cc4afee436bf4f,SOL,SHORT,0.0,174.82473794549267,169.36,77.7185,,77.7185,0.0,,,False,True,5,False
0x02bc82d230148947a59618b6ef95b45d18540f50,BTC,LONG,0.0,,108340.0,-939.4515,,-939.4515,0.0,,,False,False,1,True
0x02be50c789ed9d61c32698d6fcd3d947ceb763aa,SOL,SHORT,0.0,,169.36,8660.5848,,8660.5848,0.0,,,False,True,1,True
0x02c13fb39afa074e0ec9c654ee69ba8e2aa78781,BTC,LONG,0.0,,108340.0,-19.834,,-19.834,0.0,,,False,False,1,True
0x02cbfd9099837c305f24cc73e61cf3c9ee4df0f4,BTC,LONG,0.0,,108340.0,-56.535,,-56.535,0.0,,,False,False,1,True
0x02d816b0de074ff9b5052023deb289198b5bc0c1,SOL,SHORT,0.0,,169.36,73.29462000000001,,73.29462000000001,0.0,,,False,True,5,True
0x02dc3ff80503b094e294214fbba73268ed81c813,SOL,LONG,0.0,,169.36,-765.12,,-765.12,0.0,,,False,False,1,True
0x02e0b6613bf1bdd3ffe5896b79ee530e78d0378d,BTC,LONG,0.5411599999999999,,108340.0,-5741.144644,,-5741.144644,0.0,,,False,False,59,True
0x02ebdde238783de7f9c60bb269e1446a3e0262b8,SOL,SHORT,0.0,,169.36,233.003386,,233.003386,0.0,,,False,True,1,True
0x02ec2c47fbbb51ead5e8dcafcc62f0acea6fe016,BTC,LONG,0.00361,107716.0,108340.0,2.25264,0.5759645560273214,0.0,2.25264,,,False,False,2,False
0x02f02fb60ac7fda9f47d0c4a5488343858779dc8,BTC,LONG,0.10564000000000001,,108340.0,0.0,,0.0,0.0,,,False,False,1,True
0x02f546f9a609690013d2a16e00ff0748db27fee3,SOL,SHORT,0.0,,169.36,15.2735,,15.2735,0.0,,,False,True,1,True
0x02f88d318f664d89217af621597a153962225707,SOL,SHORT,0.0,,169.36,224.7624,,224.7624,0.0,,,False,True,1,True
